lon                    lat            ve               vn          se               sn                     ren                                                      
101.9260            28.3260            9.600      -11.900          0.910            1.000                0.0050                                           CP06_GPS                                                                              
99.8900            26.4610            3.400      -14.600          0.837            0.779                -0.0220                                           DIAN_GPS                                                                              
101.5180            28.9640            11.600      -12.100          0.725            0.725                0.0180                                     H083_GPS                                                                              
101.2380            27.6560            10.700      -12.100          0.725            0.697                0.0020                                     H096_GPS                                                                              
100.6530            27.7480            10.200      -14.200          0.697            0.697                0.0070                                     H097_GPS                                                                              
101.7100            27.5390            11.000      -12.400          0.707            0.693                0.0090                                     H104_GPS                                                                              
100.9340            27.1380            9.200      -12.100          0.725            0.725                0.0060                                           H106_GPS                                                                              
100.0650            27.1090            5.100      -14.600          0.725            0.725                0.0190                                           H107_GPS                                                                              
101.9590            27.0490            9.600      -12.100          0.697            0.697                0.0100                                           H112_GPS                                                                              
101.8550            26.6890            8.500      -12.800          0.725            0.725                0.0130                                           H113_GPS                                                                              
101.2450            26.6770            8.200      -12.000          0.725            0.725                0.0110                                           H114_GPS                                                                              
100.1610            26.5140            5.200      -11.500          1.100            1.000                0.0040                                           H118_GPS                                                                              
100.5970            26.2120            4.800      -11.600          0.697            0.697                0.0090                                           H123_GPS                                                                              
100.0940            25.9790            2.200      -12.600          0.693            0.693                0.0140                                           H124_GPS                                                                              
101.9020            25.6420            7.300      -10.600          0.693            0.693                0.0210                                           H129_GPS                                                                              
100.5600            25.7970            4.700      -10.700          0.725            0.725                0.0120                                           H131_GPS                                                                              
101.5730            24.9850            2.500      -10.700          0.707            0.693                0.0110                                           H136_GPS                                                                              
101.2650            25.2130            3.500      -10.100          0.693            0.693                0.0170                                           H137_GPS                                                                              
100.5480            25.4820            2.800      -10.700          0.697            0.697                0.0180                                           H138_GPS                                                                              
100.4960            25.3410            1.900      -10.100          0.697            0.697                0.0110                                           H140_GPS                                                                              
100.5220            25.0370            1.300      -10.800          0.707            0.693                0.0140                                           H141_GPS                                                                              
101.6330            24.6880            3.600      -9.200          1.200            1.200                0.1760                                                 H146_GPS                                                                              
100.3140            24.8370            1.700      -10.000          0.697            0.697                0.0220                                           H147_GPS                                                                              
101.9750            24.0700            2.400      -9.100          0.693            0.697                0.0050                                                 H151_GPS                                                                              
101.0930            24.0230            2.200      -9.100          0.693            0.693                0.0050                                                 H152_GPS                                                                              
100.8760            24.4170            1.500      -8.800          0.693            0.693                0.0030                                                 H153_GPS                                                                              
99.2540            28.8440            12.300      -10.800          0.736            0.707                0.0140                                           H188_GPS                                                                              
99.7450            29.0000            13.800      -12.000          0.697            0.697                0.0230                                           H189_GPS                                                                              
99.7570            28.3200            10.900      -12.600          0.697            0.725                -0.0010                                     H190_GPS                                                                              
98.9140            28.4420            11.900      -10.000          0.697            0.725                0.0060                                           H191_GPS                                                                              
99.0270            27.6110            7.200      -10.400          0.697            0.697                0.0200                                                 H193_GPS                                                                              
98.6680            27.7590            8.600      -9.200          0.725            0.697                0.0160                                                       H194_GPS                                                                              
99.6450            27.3130            6.100      -12.800          0.725            0.725                0.0190                                                       H195_GPS                                                                        
99.2930            27.1800            5.600      -11.000          0.697            0.697                0.0220                                                       H196_GPS                                                                        
98.8780            26.9090            3.800      -9.200          0.697            0.697                0.0200                                                             H197_GPS                                                                        
99.9330            26.4500            3.300      -12.500          0.725            0.725                0.0140                                                 H198_GPS                                                                              
98.9230            26.5480            2.100      -9.700          0.725            0.725                0.0160                                                       H200_GPS                                                                              
99.9870            26.1440            2.800      -12.500          0.697            0.697                0.0100                                                 H201_GPS                                                                              
99.9240            25.7160            0.900      -11.000          0.725            0.725                0.0170                                                 H204_GPS                                                                              
99.1100            25.6520            -1.000      -10.300          0.725            0.725                0.0200                                           H206_GPS                                                                              
99.1480            25.0700            -0.700      -9.400          0.697            0.725                0.0170                                                 H207_GPS                                                                              
99.9060            24.6280            1.800      -8.500          0.693            0.697                0.0070                                                       H209_GPS                                                                              
99.6430            24.8380            1.300      -9.000          0.697            0.697                0.0140                                                       H210_GPS                                                                                    
98.3030            24.8080            -2.900      -4.300          0.707            0.707                -0.0070                                                 H212_GPS                                                                                    
99.6180            24.2410            0.200      -6.800          0.693            0.697                0.0110                                                       H214_GPS                                                                                          
99.2490            24.0020            -0.700      -5.700          0.693            0.693                0.0040                                                 H215_GPS                                                                                          
98.2870            24.2560            -3.200      -3.400          0.693            0.693                0.0170                                                 H217_GPS                                                                                          
98.1970            25.4540            -3.000      -4.800          1.000            0.910                -0.0010                                                 H309_GPS                                                                                    
98.8460            24.8840            -1.900      -6.600          0.779            0.736                0.0140                                                 H312_GPS                                                                                          
98.8510            25.1950            -3.100      -9.100          0.736            0.707                0.0210                                                 H313_GPS                                                                                          
98.8730            27.2970            5.800      -9.700          0.707            0.693                0.0080                                                             H314_GPS                                                                                    
99.0480            24.2670            -1.400      -5.500          0.707            0.693                -0.0070                                                 H317_GPS                                                                                    
99.3390            28.2180            11.100      -10.600          0.779            0.736                0.0050                                                 H318_GPS                                                                                    
99.4330            27.7640            9.300      -11.200          0.693            0.693                0.0240                                                 H319_GPS                                                                                          
99.7890            26.0170            1.600      -12.100          0.707            0.693                0.0030                                                 H323_GPS                                                                                          
99.8620            26.8070            3.400      -13.500          0.707            0.707                -0.0170                                                 H324_GPS                                                                                    
99.9980            26.7590            4.400      -13.700          0.707            0.707                0.0090                                                       H325_GPS                                                                                          
100.0460            27.5110            7.000      -13.600          0.707            0.693                -0.0020                                                 H327_GPS                                                                                    
100.1770            26.2680            5.500      -11.200          0.707            0.693                0.0010                                                       H328_GPS                                                                                          
100.3430            28.5590            12.000      -12.500          0.707            0.707                -0.0220                                           H330_GPS                                                                        
100.4550            26.9990            6.600      -12.200          0.707            0.693                -0.0290                                           H333_GPS                                                                              
100.6800            26.4480            5.800      -11.900          0.707            0.693                -0.0150                                           H334_GPS                                                                              
100.7290            24.6430            1.700      -9.200          0.837            0.779                0.0240                                                       H335_GPS                                                                              
100.8310            25.4000            2.500      -9.900          0.693            0.693                -0.0090                                                 H336_GPS                                                                              
100.9230            28.1260            10.800      -13.800          0.707            0.693                -0.0110                                           H337_GPS                                                                        
100.9360            26.1420            5.800      -10.500          0.693            0.693                0.0030                                                 H340_GPS                                                                              
101.0000            27.6230            9.200      -14.100          0.707            0.707                -0.0160                                           H342_GPS                                                                              
101.3880            27.0470            9.200      -11.800          0.707            0.707                -0.0170                                           H346_GPS                                                                              
